Date,Exercise,Sets,Reps,Weight,Muscle Group
2019-02-01,Leg extention,4,12,55.30888030888031,Gambe
2019-02-02,Panca,5,5,80.61776061776062,Petto
2019-02-02,Panca inclinata,4,10,35.15444015444015,Petto
2019-02-02,Croci,4,12,10.231660231660232,Petto
2019-02-02,Military press,4,8,20.30888030888031,Spalle
2019-02-02,Alzate laterali,4,12,7.0926640926640925,Spalle
2019-02-03,Stacco,5,5,100.92664092664093,Schiena
2019-02-03,Lat machine,4,10,55.463320463320464,Schiena
2019-02-03,Tirate orizzontali ai cavi,4,10,25.231660231660232,Schiena
2019-02-03,Pull down ai cavi,4,12,15.154440154440154,Tricipiti
2019-02-03,Curl con manubri,4,12,10.077220077220078,Bicipiti
2019-02-03,Curl su panca inclinata,4,12,8.077220077220078,Bicipiti
2019-02-04,Squat,5,5,90.77220077220078,Gambe
2019-02-04,Sissy squat,4,12,5.154440154440154,Gambe
2019-02-04,Leg extention,4,12,55.30888030888031,Gambe
2019-02-05,Squat,5,5,90.96525096525096,Gambe
2019-02-05,Sissy squat,4,12,5.193050193050193,Gambe
2019-02-05,Leg extention,4,12,55.38610038610039,Gambe
2019-02-06,Panca,5,5,80.77220077220078,Petto
2019-02-06,Panca inclinata,4,10,35.19305019305019,Petto
2019-02-06,Croci,4,12,10.28957528957529,Petto
2019-02-06,Military press,4,8,20.386100386100384,Spalle
2019-02-06,Alzate laterali,4,12,7.115830115830116,Spalle
2019-02-07,Stacco,5,5,101.15830115830116,Schiena
2019-02-07,Lat machine,4,10,55.57915057915058,Schiena
2019-02-07,Tirate orizzontali ai cavi,4,10,25.28957528957529,Schiena
2019-02-07,Pull down ai cavi,4,12,15.193050193050192,Tricipiti
2019-02-07,Curl con manubri,4,12,10.096525096525097,Bicipiti
2019-02-07,Curl su panca inclinata,4,12,8.096525096525097,Bicipiti
2019-02-08,Squat,5,5,90.96525096525096,Gambe
2019-02-08,Sissy squat,4,12,5.193050193050193,Gambe
2019-02-08,Leg extention,4,12,55.38610038610039,Gambe
2019-02-10,Stacco,5,5,101.15830115830116,Schiena
2019-02-10,Lat machine,4,10,55.57915057915058,Schiena
2019-02-10,Tirate orizzontali ai cavi,4,10,25.28957528957529,Schiena
2019-02-10,Pull down ai cavi,4,12,15.193050193050192,Tricipiti
2019-02-10,Curl con manubri,4,12,10.096525096525097,Bicipiti
2019-02-10,Curl su panca inclinata,4,12,8.096525096525097,Bicipiti
2019-02-11,Squat,5,5,90.96525096525096,Gambe
2019-02-11,Sissy squat,4,12,5.193050193050193,Gambe
2019-02-11,Leg extention,4,12,55.38610038610039,Gambe
2019-02-12,Squat,5,5,91.15830115830116,Gambe
2019-02-12,Sissy squat,4,12,5.231660231660232,Gambe
2019-02-12,Leg extention,4,12,55.463320463320464,Gambe
2019-02-13,Panca,5,5,80.92664092664093,Petto
2019-02-13,Panca inclinata,4,10,35.23166023166023,Petto
2019-02-13,Croci,4,12,10.347490347490348,Petto
2019-02-13,Military press,4,8,20.463320463320464,Spalle
2019-02-13,Alzate laterali,4,12,7.138996138996139,Spalle
2019-02-14,Stacco,5,5,101.38996138996139,Schiena
2019-02-14,Lat machine,4,10,55.69498069498069,Schiena
2019-02-14,Tirate orizzontali ai cavi,4,10,25.347490347490346,Schiena
2019-02-14,Pull down ai cavi,4,12,15.231660231660232,Tricipiti
2019-02-14,Curl con manubri,4,12,10.115830115830116,Bicipiti
2019-02-14,Curl su panca inclinata,4,12,8.115830115830116,Bicipiti
2019-02-16,Panca,5,5,80.92664092664093,Petto
2019-02-16,Panca inclinata,4,10,35.23166023166023,Petto
2019-02-16,Croci,4,12,10.347490347490348,Petto
2019-02-16,Military press,4,8,20.463320463320464,Spalle
2019-02-16,Alzate laterali,4,12,7.138996138996139,Spalle
2019-02-17,Stacco,5,5,101.38996138996139,Schiena
2019-02-17,Lat machine,4,10,55.69498069498069,Schiena
2019-02-17,Tirate orizzontali ai cavi,4,10,25.347490347490346,Schiena
2019-02-17,Pull down ai cavi,4,12,15.231660231660232,Tricipiti
2019-02-17,Curl con manubri,4,12,10.115830115830116,Bicipiti
2019-02-17,Curl su panca inclinata,4,12,8.115830115830116,Bicipiti
2019-02-18,Squat,5,5,91.15830115830116,Gambe
2019-02-18,Sissy squat,4,12,5.231660231660232,Gambe
2019-02-18,Leg extention,4,12,55.463320463320464,Gambe
2019-02-19,Squat,5,5,91.35135135135135,Gambe
2019-02-19,Sissy squat,4,12,5.27027027027027,Gambe
2019-02-19,Leg extention,4,12,55.54054054054054,Gambe
2019-02-20,Panca,5,5,81.08108108108108,Petto
2019-02-20,Panca inclinata,4,10,35.270270270270274,Petto
2019-02-20,Croci,4,12,10.405405405405405,Petto
2019-02-20,Military press,4,8,20.54054054054054,Spalle
2019-02-20,Alzate laterali,4,12,7.162162162162162,Spalle
2019-02-22,Squat,5,5,91.35135135135135,Gambe
2019-02-22,Sissy squat,4,12,5.27027027027027,Gambe
2019-02-22,Leg extention,4,12,55.54054054054054,Gambe
2019-02-23,Panca,5,5,81.08108108108108,Petto
2019-02-23,Panca inclinata,4,10,35.270270270270274,Petto
2019-02-23,Croci,4,12,10.405405405405405,Petto
2019-02-23,Military press,4,8,20.54054054054054,Spalle
2019-02-23,Alzate laterali,4,12,7.162162162162162,Spalle
2019-02-24,Stacco,5,5,101.62162162162163,Schiena
2019-02-24,Lat machine,4,10,55.810810810810814,Schiena
2019-02-24,Tirate orizzontali ai cavi,4,10,25.405405405405407,Schiena
2019-02-24,Pull down ai cavi,4,12,15.27027027027027,Tricipiti
2019-02-24,Curl con manubri,4,12,10.135135135135135,Bicipiti
2019-02-24,Curl su panca inclinata,4,12,8.135135135135135,Bicipiti
2019-02-25,Squat,5,5,91.35135135135135,Gambe
2019-02-25,Sissy squat,4,12,5.27027027027027,Gambe
2019-02-25,Leg extention,4,12,55.54054054054054,Gambe
2019-02-27,Panca,5,5,81.23552123552123,Petto
2019-02-27,Panca inclinata,4,10,35.30888030888031,Petto
2019-02-27,Croci,4,12,10.463320463320464,Petto
2019-02-27,Military press,4,8,20.617760617760617,Spalle
2019-02-27,Alzate laterali,4,12,7.185328185328185,Spalle
2019-02-28,Stacco,5,5,101.85328185328186,Schiena
2019-02-28,Lat machine,4,10,55.92664092664093,Schiena
2019-02-28,Tirate orizzontali ai cavi,4,10,25.463320463320464,Schiena
2019-02-28,Pull down ai cavi,4,12,15.308880308880308,Tricipiti
2019-02-28,Curl con manubri,4,12,10.154440154440154,Bicipiti
2019-02-28,Curl su panca inclinata,4,12,8.154440154440154,Bicipiti
2019-03-01,Squat,5,5,91.54440154440154,Gambe
2019-03-01,Sissy squat,4,12,5.308880308880309,Gambe
2019-03-01,Leg extention,4,12,55.61776061776062,Gambe
2019-03-02,Panca,5,5,81.23552123552123,Petto
2019-03-02,Panca inclinata,4,10,35.30888030888031,Petto
2019-03-02,Croci,4,12,10.463320463320464,Petto
2019-03-02,Military press,4,8,20.617760617760617,Spalle
2019-03-02,Alzate laterali,4,12,7.185328185328185,Spalle
2019-03-03,Stacco,5,5,101.85328185328186,Schiena
2019-03-03,Lat machine,4,10,55.92664092664093,Schiena
2019-03-03,Tirate orizzontali ai cavi,4,10,25.463320463320464,Schiena
2019-03-03,Pull down ai cavi,4,12,15.308880308880308,Tricipiti
2019-03-03,Curl con manubri,4,12,10.154440154440154,Bicipiti
2019-03-03,Curl su panca inclinata,4,12,8.154440154440154,Bicipiti
2019-03-04,Squat,5,5,91.54440154440154,Gambe
2019-03-04,Sissy squat,4,12,5.308880308880309,Gambe
2019-03-04,Leg extention,4,12,55.61776061776062,Gambe
2019-03-06,Panca,5,5,81.38996138996139,Petto
2019-03-06,Panca inclinata,4,10,35.34749034749035,Petto
2019-03-06,Croci,4,12,10.521235521235521,Petto
2019-03-06,Military press,4,8,20.694980694980696,Spalle
2019-03-06,Alzate laterali,4,12,7.2084942084942085,Spalle
2019-03-07,Stacco,5,5,102.08494208494209,Schiena
2019-03-07,Lat machine,4,10,56.04247104247104,Schiena
2019-03-07,Tirate orizzontali ai cavi,4,10,25.52123552123552,Schiena
2019-03-07,Pull down ai cavi,4,12,15.347490347490348,Tricipiti
2019-03-07,Curl con manubri,4,12,10.173745173745173,Bicipiti
2019-03-07,Curl su panca inclinata,4,12,8.173745173745173,Bicipiti
2019-03-08,Squat,5,5,91.73745173745174,Gambe
2019-03-08,Sissy squat,4,12,5.347490347490347,Gambe
2019-03-08,Leg extention,4,12,55.69498069498069,Gambe
2019-03-09,Panca,5,5,81.38996138996139,Petto
2019-03-09,Panca inclinata,4,10,35.34749034749035,Petto
2019-03-09,Croci,4,12,10.521235521235521,Petto
2019-03-09,Military press,4,8,20.694980694980696,Spalle
2019-03-09,Alzate laterali,4,12,7.2084942084942085,Spalle
2019-03-10,Stacco,5,5,102.08494208494209,Schiena
2019-03-10,Lat machine,4,10,56.04247104247104,Schiena
2019-03-10,Tirate orizzontali ai cavi,4,10,25.52123552123552,Schiena
2019-03-10,Pull down ai cavi,4,12,15.347490347490348,Tricipiti
2019-03-10,Curl con manubri,4,12,10.173745173745173,Bicipiti
2019-03-10,Curl su panca inclinata,4,12,8.173745173745173,Bicipiti
2019-03-11,Squat,5,5,91.73745173745174,Gambe
2019-03-11,Sissy squat,4,12,5.347490347490347,Gambe
2019-03-11,Leg extention,4,12,55.69498069498069,Gambe
2019-03-12,Squat,5,5,91.93050193050193,Gambe
2019-03-12,Sissy squat,4,12,5.386100386100386,Gambe
2019-03-12,Leg extention,4,12,55.77220077220077,Gambe
2019-03-13,Panca,5,5,81.54440154440154,Petto
2019-03-13,Panca inclinata,4,10,35.38610038610039,Petto
2019-03-13,Croci,4,12,10.579150579150578,Petto
2019-03-13,Military press,4,8,20.772200772200772,Spalle
2019-03-13,Alzate laterali,4,12,7.231660231660232,Spalle
2019-03-14,Stacco,5,5,102.31660231660231,Schiena
2019-03-14,Lat machine,4,10,56.15830115830116,Schiena
2019-03-14,Tirate orizzontali ai cavi,4,10,25.57915057915058,Schiena
2019-03-14,Pull down ai cavi,4,12,15.386100386100386,Tricipiti
2019-03-14,Curl con manubri,4,12,10.193050193050192,Bicipiti
2019-03-14,Curl su panca inclinata,4,12,8.193050193050192,Bicipiti
2019-03-16,Panca,5,5,81.54440154440154,Petto
2019-03-16,Panca inclinata,4,10,35.38610038610039,Petto
2019-03-16,Croci,4,12,10.579150579150578,Petto
2019-03-16,Military press,4,8,20.772200772200772,Spalle
2019-03-16,Alzate laterali,4,12,7.231660231660232,Spalle
2019-03-17,Stacco,5,5,102.31660231660231,Schiena
2019-03-17,Lat machine,4,10,56.15830115830116,Schiena
2019-03-17,Tirate orizzontali ai cavi,4,10,25.57915057915058,Schiena
2019-03-17,Pull down ai cavi,4,12,15.386100386100386,Tricipiti
2019-03-17,Curl con manubri,4,12,10.193050193050192,Bicipiti
2019-03-17,Curl su panca inclinata,4,12,8.193050193050192,Bicipiti
2019-03-18,Squat,5,5,91.93050193050193,Gambe
2019-03-18,Sissy squat,4,12,5.386100386100386,Gambe
2019-03-18,Leg extention,4,12,55.77220077220077,Gambe
2019-03-19,Squat,5,5,92.12355212355213,Gambe
2019-03-19,Sissy squat,4,12,5.424710424710424,Gambe
2019-03-19,Leg extention,4,12,55.84942084942085,Gambe
2019-03-20,Panca,5,5,81.6988416988417,Petto
2019-03-20,Panca inclinata,4,10,35.424710424710426,Petto
2019-03-20,Croci,4,12,10.637065637065637,Petto
2019-03-20,Military press,4,8,20.84942084942085,Spalle
2019-03-20,Alzate laterali,4,12,7.254826254826255,Spalle
2019-03-21,Stacco,5,5,102.54826254826254,Schiena
2019-03-21,Lat machine,4,10,56.27413127413127,Schiena
2019-03-21,Tirate orizzontali ai cavi,4,10,25.637065637065636,Schiena
2019-03-21,Pull down ai cavi,4,12,15.424710424710424,Tricipiti
2019-03-21,Curl con manubri,4,12,10.212355212355213,Bicipiti
2019-03-21,Curl su panca inclinata,4,12,8.212355212355213,Bicipiti
2019-03-23,Panca,5,5,81.6988416988417,Petto
2019-03-23,Panca inclinata,4,10,35.424710424710426,Petto
2019-03-23,Croci,4,12,10.637065637065637,Petto
2019-03-23,Military press,4,8,20.84942084942085,Spalle
2019-03-23,Alzate laterali,4,12,7.254826254826255,Spalle
2019-03-24,Stacco,5,5,102.54826254826254,Schiena
2019-03-24,Lat machine,4,10,56.27413127413127,Schiena
2019-03-24,Tirate orizzontali ai cavi,4,10,25.637065637065636,Schiena
2019-03-24,Pull down ai cavi,4,12,15.424710424710424,Tricipiti
2019-03-24,Curl con manubri,4,12,10.212355212355213,Bicipiti
2019-03-24,Curl su panca inclinata,4,12,8.212355212355213,Bicipiti
2019-03-25,Squat,5,5,92.12355212355213,Gambe
2019-03-25,Sissy squat,4,12,5.424710424710424,Gambe
2019-03-25,Leg extention,4,12,55.84942084942085,Gambe
2019-03-27,Panca,5,5,81.85328185328186,Petto
2019-03-27,Panca inclinata,4,10,35.463320463320464,Petto
2019-03-27,Croci,4,12,10.694980694980694,Petto
2019-03-27,Military press,4,8,20.92664092664093,Spalle
2019-03-27,Alzate laterali,4,12,7.277992277992278,Spalle
2019-03-28,Stacco,5,5,102.77992277992279,Schiena
2019-03-28,Lat machine,4,10,56.38996138996139,Schiena
2019-03-28,Tirate orizzontali ai cavi,4,10,25.694980694980696,Schiena
2019-03-28,Pull down ai cavi,4,12,15.463320463320464,Tricipiti
2019-03-28,Curl con manubri,4,12,10.231660231660232,Bicipiti
2019-03-28,Curl su panca inclinata,4,12,8.231660231660232,Bicipiti
2019-03-29,Squat,5,5,92.31660231660231,Gambe
2019-03-29,Sissy squat,4,12,5.463320463320463,Gambe
2019-03-29,Leg extention,4,12,55.92664092664093,Gambe
2019-03-30,Panca,5,5,81.85328185328186,Petto
2019-03-30,Panca inclinata,4,10,35.463320463320464,Petto
2019-03-30,Croci,4,12,10.694980694980694,Petto
2019-03-30,Military press,4,8,20.92664092664093,Spalle
2019-03-30,Alzate laterali,4,12,7.277992277992278,Spalle
2019-03-31,Stacco,5,5,102.77992277992279,Schiena
2019-03-31,Lat machine,4,10,56.38996138996139,Schiena
2019-03-31,Tirate orizzontali ai cavi,4,10,25.694980694980696,Schiena
2019-03-31,Pull down ai cavi,4,12,15.463320463320464,Tricipiti
2019-03-31,Curl con manubri,4,12,10.231660231660232,Bicipiti
2019-03-31,Curl su panca inclinata,4,12,8.231660231660232,Bicipiti
2019-04-01,Squat,5,5,92.31660231660231,Gambe
2019-04-01,Sissy squat,4,12,5.463320463320463,Gambe
2019-04-01,Leg extention,4,12,55.92664092664093,Gambe
2019-04-02,Squat,5,5,92.50965250965251,Gambe
2019-04-02,Sissy squat,4,12,5.501930501930502,Gambe
2019-04-02,Leg extention,4,12,56.003861003861005,Gambe
2019-04-03,Panca,5,5,82.00772200772201,Petto
2019-04-03,Panca inclinata,4,10,35.5019305019305,Petto
2019-04-03,Croci,4,12,10.752895752895753,Petto
2019-04-03,Military press,4,8,21.003861003861005,Spalle
2019-04-03,Alzate laterali,4,12,7.301158301158301,Spalle
2019-04-04,Stacco,5,5,103.01158301158301,Schiena
2019-04-04,Lat machine,4,10,56.50579150579151,Schiena
2019-04-04,Tirate orizzontali ai cavi,4,10,25.752895752895753,Schiena
2019-04-04,Pull down ai cavi,4,12,15.501930501930502,Tricipiti
2019-04-04,Curl con manubri,4,12,10.250965250965251,Bicipiti
2019-04-04,Curl su panca inclinata,4,12,8.250965250965251,Bicipiti
2019-04-06,Panca,5,5,82.00772200772201,Petto
2019-04-06,Panca inclinata,4,10,35.5019305019305,Petto
2019-04-06,Croci,4,12,10.752895752895753,Petto
2019-04-06,Military press,4,8,21.003861003861005,Spalle
2019-04-06,Alzate laterali,4,12,7.301158301158301,Spalle
2019-04-07,Stacco,5,5,103.01158301158301,Schiena
2019-04-07,Lat machine,4,10,56.50579150579151,Schiena
2019-04-07,Tirate orizzontali ai cavi,4,10,25.752895752895753,Schiena
2019-04-07,Pull down ai cavi,4,12,15.501930501930502,Tricipiti
2019-04-07,Curl con manubri,4,12,10.250965250965251,Bicipiti
2019-04-07,Curl su panca inclinata,4,12,8.250965250965251,Bicipiti
2019-04-08,Squat,5,5,92.50965250965251,Gambe
2019-04-08,Sissy squat,4,12,5.501930501930502,Gambe
2019-04-08,Leg extention,4,12,56.003861003861005,Gambe
2019-04-10,Panca,5,5,82.16216216216216,Petto
2019-04-10,Panca inclinata,4,10,35.54054054054054,Petto
2019-04-10,Croci,4,12,10.81081081081081,Petto
2019-04-10,Military press,4,8,21.08108108108108,Spalle
2019-04-10,Alzate laterali,4,12,7.324324324324325,Spalle
2019-04-11,Stacco,5,5,103.24324324324324,Schiena
2019-04-11,Lat machine,4,10,56.62162162162162,Schiena
2019-04-11,Tirate orizzontali ai cavi,4,10,25.81081081081081,Schiena
2019-04-11,Pull down ai cavi,4,12,15.54054054054054,Tricipiti
2019-04-11,Curl con manubri,4,12,10.27027027027027,Bicipiti
2019-04-11,Curl su panca inclinata,4,12,8.27027027027027,Bicipiti
2019-04-12,Squat,5,5,92.70270270270271,Gambe
2019-04-12,Sissy squat,4,12,5.54054054054054,Gambe
2019-04-12,Leg extention,4,12,56.08108108108108,Gambe
2019-04-13,Panca,5,5,82.16216216216216,Petto
2019-04-13,Panca inclinata,4,10,35.54054054054054,Petto
2019-04-13,Croci,4,12,10.81081081081081,Petto
2019-04-13,Military press,4,8,21.08108108108108,Spalle
2019-04-13,Alzate laterali,4,12,7.324324324324325,Spalle
2019-04-14,Stacco,5,5,103.24324324324324,Schiena
2019-04-14,Lat machine,4,10,56.62162162162162,Schiena
2019-04-14,Tirate orizzontali ai cavi,4,10,25.81081081081081,Schiena
2019-04-14,Pull down ai cavi,4,12,15.54054054054054,Tricipiti
2019-04-14,Curl con manubri,4,12,10.27027027027027,Bicipiti
2019-04-14,Curl su panca inclinata,4,12,8.27027027027027,Bicipiti
2019-04-15,Squat,5,5,92.70270270270271,Gambe
2019-04-15,Sissy squat,4,12,5.54054054054054,Gambe
2019-04-15,Leg extention,4,12,56.08108108108108,Gambe
2019-04-17,Panca,5,5,82.31660231660231,Petto
2019-04-17,Panca inclinata,4,10,35.57915057915058,Petto
2019-04-17,Croci,4,12,10.86872586872587,Petto
2019-04-17,Military press,4,8,21.158301158301157,Spalle
2019-04-17,Alzate laterali,4,12,7.347490347490347,Spalle
2019-04-18,Stacco,5,5,103.47490347490347,Schiena
2019-04-18,Lat machine,4,10,56.737451737451735,Schiena
2019-04-18,Tirate orizzontali ai cavi,4,10,25.868725868725868,Schiena
2019-04-18,Pull down ai cavi,4,12,15.579150579150578,Tricipiti
2019-04-18,Curl con manubri,4,12,10.28957528957529,Bicipiti
2019-04-18,Curl su panca inclinata,4,12,8.28957528957529,Bicipiti
2019-04-19,Squat,5,5,92.89575289575289,Gambe
2019-04-19,Sissy squat,4,12,5.579150579150579,Gambe
2019-04-19,Leg extention,4,12,56.15830115830116,Gambe
2019-04-20,Panca,5,5,82.31660231660231,Petto
2019-04-20,Panca inclinata,4,10,35.57915057915058,Petto
2019-04-20,Croci,4,12,10.86872586872587,Petto
2019-04-20,Military press,4,8,21.158301158301157,Spalle
2019-04-20,Alzate laterali,4,12,7.347490347490347,Spalle
2019-04-21,Stacco,5,5,103.47490347490347,Schiena
2019-04-21,Lat machine,4,10,56.737451737451735,Schiena
2019-04-21,Tirate orizzontali ai cavi,4,10,25.868725868725868,Schiena
2019-04-21,Pull down ai cavi,4,12,15.579150579150578,Tricipiti
2019-04-21,Curl con manubri,4,12,10.28957528957529,Bicipiti
2019-04-21,Curl su panca inclinata,4,12,8.28957528957529,Bicipiti
2019-04-22,Squat,5,5,92.89575289575289,Gambe
2019-04-22,Sissy squat,4,12,5.579150579150579,Gambe
2019-04-22,Leg extention,4,12,56.15830115830116,Gambe
2019-04-23,Squat,5,5,93.08880308880309,Gambe
2019-04-23,Sissy squat,4,12,5.617760617760617,Gambe
2019-04-23,Leg extention,4,12,56.23552123552123,Gambe
2019-04-25,Stacco,5,5,103.70656370656371,Schiena
2019-04-25,Lat machine,4,10,56.85328185328186,Schiena
2019-04-25,Tirate orizzontali ai cavi,4,10,25.92664092664093,Schiena
2019-04-25,Pull down ai cavi,4,12,15.617760617760618,Tricipiti
2019-04-25,Curl con manubri,4,12,10.308880308880308,Bicipiti
2019-04-25,Curl su panca inclinata,4,12,8.308880308880308,Bicipiti
2019-04-26,Squat,5,5,93.08880308880309,Gambe
